equipment_id,name,category,manufacturer,model,notes
guitar-alligator,Alligator,guitar,Fender,1955 Stratocaster,"The Graham Nash Stratocaster, named for its alligator sticker."
guitar-black-strat-midi,Black Stratocaster with MIDI,guitar,Fender,Stratocaster,Used during Space in the 1989 period before Wolf was used for MIDI.
guitar-erlewine-strat,Erlewine Stratocaster,guitar,Erlewine,Stratocaster,Specific late-1972 and 1973 show evidence.
guitar-gibson-sg-1966,Gibson SG Standard (1966),guitar,Gibson,SG Standard,1966 Gibson SG Standard used in 1970.
guitar-gibson-sg-1967,Gibson SG Standard,guitar,Gibson,SG Standard,The source distinguishes the late-1960s SG from the 1966 SG used in 1970.
guitar-guild-s100,Guild S-100,guitar,Guild,S-100,Specific 1971 show sighting.
guitar-guild-starfire-iii,Red Guild Starfire III,guitar,Guild,Starfire III,Jerry's early Warlocks/Dead electric guitar.
guitar-irwin-eagle,Eagle,guitar,Doug Irwin / Alembic,Irwin Eagle,First custom Doug Irwin guitar made for Alembic; specific 1973 show evidence.
guitar-les-paul-custom,Black Gibson Les Paul Custom,guitar,Gibson,Les Paul Custom,The source distinguishes an early and a later black Les Paul Custom.
guitar-les-paul-deluxe-cherry-sunburst,Gibson Les Paul Deluxe,guitar,Gibson,Les Paul Deluxe,Cherry Sunburst finish.
guitar-les-paul-goldtop,Gibson Les Paul Goldtop,guitar,Gibson,Les Paul Goldtop,Source dates the early goldtop to late 1967–1968 and notes a later 1971 goldtop sighting.
guitar-les-paul-special-tv-yellow,Gibson Les Paul Special,guitar,Gibson,Les Paul Special,TV Yellow finish.
guitar-rick-turner-peanut,Rick Turner Peanut,guitar,Rick Turner,Peanut,Custom-built guitar associated with the early 1971 period.
guitar-rosebud,Rosebud,guitar,Doug Irwin,Rosebud,Doug Irwin guitar with built-in MIDI controls.
guitar-strat-rosewood,Rosewood Fender Stratocaster,guitar,Fender,Stratocaster,1963 rosewood Stratocaster.
guitar-tiger,Tiger,guitar,Doug Irwin,Tiger,Named for the tiger inlay; it became Jerry's principal electric guitar in the 1980s.
guitar-travis-bean-tb1000a,Travis Bean TB1000A,guitar,Travis Bean,TB1000A,Aluminum-neck Travis Bean; the source identifies multiple periods and a late-1978 replacement.
guitar-travis-bean-tb500,Travis Bean TB500,guitar,Travis Bean,TB500,The source identifies two TB500 guitars in the 1976–1977 period.
guitar-veneta-strat,Veneta Strat,guitar,Fender,1956 Sunburst Stratocaster,The source identifies this as the sunburst Strat used in the August–September 1972 period.
guitar-wolf,Wolf,guitar,Doug Irwin,Wolf,Named for the wolf inlay; the source also records a later modified configuration.
